enabled,minimum_probability_residual,minimum_reversion_probability,trailing_giveback_fraction,trailing_activation_multiple,second_target_multiple,adverse_state_probability_move,minimum_runner_contracts,trades,scaled_reversions,full_reversion_exits,runner_target_exits,runner_trailing_exits,runner_state_exits,runner_settlements,full_settlements,fees,capital,pnl,roi
False,0.075,0.8,0.5,0.25,3.0,0.02,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.8,0.5,0.25,3.0,0.05,0.1,11,10,0,0,10,0,0,1,4.289999999999999,112.57,4.546469062560588,0.04038792806751877
False,0.075,0.9,0.35,0.25,1.5,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,1.5,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.35,0.25,1.5,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,1.5,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.35,0.25,2.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,2.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.35,0.25,2.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,2.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.35,0.25,3.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,3.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.35,0.25,3.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.35,0.25,3.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,1.5,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,1.5,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,1.5,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,1.5,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,2.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,2.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,2.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,2.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,3.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,3.0,0.02,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.075,0.9,0.5,0.25,3.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.1,0.9,0.5,0.25,3.0,0.05,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
False,0.01,0.9,0.35,0.25,2.0,0.02,0.1,80,60,17,3,54,2,1,3,19.07000000000001,810.2999999999998,-12.912380732997393,-0.015935308815250397
False,0.01,0.9,0.35,0.25,2.0,0.05,0.1,80,60,17,3,54,2,1,3,19.07000000000001,810.2999999999998,-12.912380732997393,-0.015935308815250397
False,0.01,0.9,0.35,0.25,3.0,0.02,0.1,80,60,17,0,57,2,1,3,19.07000000000001,810.2999999999998,-12.912380732997393,-0.015935308815250397
False,0.01,0.9,0.35,0.25,3.0,0.05,0.1,80,60,17,0,57,2,1,3,19.07000000000001,810.2999999999998,-12.912380732997393,-0.015935308815250397
False,0.01,0.9,0.35,0.25,1.5,0.02,0.1,80,60,17,29,28,2,1,3,19.07000000000001,810.2999999999998,-12.914007745237159,-0.015937316728664892
False,0.01,0.9,0.35,0.25,1.5,0.05,0.1,80,60,17,29,28,2,1,3,19.07000000000001,810.2999999999998,-12.914007745237159,-0.015937316728664892
False,0.01,0.9,0.5,0.25,1.5,0.02,0.1,80,60,17,29,28,2,1,3,19.07000000000001,810.2999999999998,-12.914007745237159,-0.015937316728664892
False,0.01,0.9,0.5,0.25,1.5,0.05,0.1,80,60,17,29,28,2,1,3,19.07000000000001,810.2999999999998,-12.914007745237159,-0.015937316728664892
False,0.01,0.9,0.5,0.25,2.0,0.02,0.1,80,60,17,3,54,2,1,3,19.07000000000001,810.2999999999998,-12.923091529284642,-0.015948527124873064
False,0.01,0.9,0.5,0.25,2.0,0.05,0.1,80,60,17,3,54,2,1,3,19.07000000000001,810.2999999999998,-12.923091529284642,-0.015948527124873064
False,0.01,0.9,0.5,0.25,3.0,0.02,0.1,80,60,17,1,56,2,1,3,19.07000000000001,810.2999999999998,-12.92830111110342,-0.015954956326179714
