minimum_edge,max_hold_minutes,trades,yes_trades,no_trades,fees,capital,pnl,roi
0.015,10.0,728,360,368,506.0300000000007,7550.110000000007,-944.9008886883308,-0.12515061220145535
0.01,10.0,785,389,396,546.7400000000013,8141.880000000012,-1023.137758589702,-0.12566357629806635
0.05,10.0,326,146,180,216.05999999999972,3377.9199999999973,-427.80197841984466,-0.1266465690187586
0.075,10.0,204,102,102,132.35999999999993,2113.8800000000006,-293.0736763097954,-0.13864253236219432
0.1,3.0,135,67,68,93.28,1399.6100000000001,-200.6792749324811,-0.1433822814444603
0.1,5.0,132,65,67,87.80000000000001,1368.0200000000002,-198.53330018953275,-0.14512455972100752
0.1,2.0,136,68,68,94.72000000000003,1409.8600000000001,-212.66785165940817,-0.1508432409313039
0.1,8.0,126,63,63,82.18000000000004,1305.8100000000002,-205.43547448573398,-0.15732417004444288
0.125,3.0,82,39,43,62.53,853.4999999999998,-151.95916675354502,-0.17804237463801412
0.125,10.0,74,36,38,51.84000000000001,770.4299999999998,-137.52134443022237,-0.17849946709009565
0.125,5.0,81,38,43,58.65000000000001,842.8199999999998,-151.9703729017364,-0.18031177819906555
0.1,10.0,125,62,63,78.77000000000002,1295.5000000000002,-233.82916202126592,-0.18049337091568188
0.125,8.0,75,36,39,54.900000000000006,780.9499999999998,-141.11914430535117,-0.18070189423823702
0.2,5.0,37,14,23,26.840000000000003,385.68000000000006,-72.21582228284966,-0.18724284972736374
0.15,5.0,63,30,33,46.01000000000001,656.1299999999998,-123.40862039036502,-0.188085623870826
0.125,2.0,83,40,43,63.57000000000001,863.7499999999999,-166.41192896606853,-0.19266214641513002
0.175,5.0,44,20,24,31.489999999999995,458.02000000000004,-88.53605529912197,-0.19330172328527567
0.15,3.0,63,30,33,48.14000000000001,656.1299999999998,-134.68023625757016,-0.20526456076931432
0.175,3.0,44,20,24,33.48000000000001,458.02000000000004,-94.09844083278955,-0.20544613954148191
0.175,2.0,44,20,24,33.79000000000001,458.02000000000004,-95.36764040728384,-0.20821719664487104
0.2,8.0,36,13,23,26.890000000000008,375.2700000000001,-78.67008963705138,-0.20963596780198618
0.175,10.0,41,18,23,27.14,426.57,-90.51332737814678,-0.21218868504148625
0.2,10.0,35,13,22,24.280000000000005,364.75000000000006,-77.57588572774505,-0.21268234606647027
0.15,2.0,63,30,33,48.58000000000001,656.1299999999998,-142.05300970885486,-0.2165013178925745
0.15,8.0,61,28,33,44.8,635.4499999999998,-138.27257061876767,-0.21759787649503143
0.175,8.0,42,18,24,29.950000000000003,437.09,-95.16646693852695,-0.2177273946750714
0.15,10.0,60,28,32,41.699999999999996,624.9299999999998,-141.43876169087073,-0.22632736737053874
0.2,3.0,37,14,23,28.550000000000004,385.68000000000006,-89.45501145229645,-0.23194101704080178
0.2,2.0,37,14,23,28.910000000000007,385.68000000000006,-92.565963959848,-0.24000716645884668
