enabled,minimum_edge,confirmation_seconds,maximum_pre_event_trade_age_seconds,maximum_event_to_entry_seconds,invalidate_on_next_pitch,minimum_fair_move,momentum_exit_enabled,momentum_window_seconds,minimum_favorable_velocity,momentum_trailing_giveback,momentum_max_hold_seconds,minimum_momentum_trades,minimum_seconds_between_entries,allowed_event_types,maximum_hold_seconds,exit_target_mode,latch_reversion_exit,minimum_reversion_move,side_filter,position_sizing,minimum_edges_by_segment,confirmation_seconds_by_segment,minimum_reversion_moves_by_segment,trades,pnl,capital,fees,games,trades_per_game,roi,pnl_without_best_game,profitable_folds,worst_fold_roi,minimum_fold_trades_per_game
True,0.05,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,frozen,False,0.0,both,fixed_payout,{},{},{},326,40.98000000000006,1751.0099999999993,90.82000000000001,918,0.355119825708061,0.023403635616015942,37.24000000000006,3,0.003220853151567371,0.31511254019292606
True,0.05,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,frozen,True,0.0,both,fixed_payout,{},{},{},326,29.44000000000004,1751.0099999999993,91.25999999999999,918,0.355119825708061,0.016813153551378947,25.91000000000004,3,0.0010299239728849237,0.31511254019292606
True,0.05,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,dynamic,False,0.0,both,fixed_payout,{},{},{},326,40.44000000000004,1751.0099999999993,88.75999999999999,918,0.355119825708061,0.023095242174516455,33.84000000000004,2,-0.021366240964757876,0.31511254019292606
True,0.05,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,dynamic,True,0.0,both,fixed_payout,{},{},{},326,10.410000000000029,1751.0099999999993,89.99,918,0.355119825708061,0.005945140233351056,3.4300000000000264,2,-0.027470881240402978,0.31511254019292606
True,0.05,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,frozen,False,0.0,both,fixed_payout,{},{},{},326,23.310000000000045,1751.0099999999993,88.28999999999999,918,0.355119825708061,0.01331231689139414,16.280000000000044,2,-0.03293884124190106,0.31511254019292606
True,0.05,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,frozen,True,0.0,both,fixed_payout,{},{},{},326,-5.5199999999999605,1751.0099999999993,89.41999999999999,918,0.355119825708061,-0.003152466290883526,-12.439999999999962,2,-0.04381858357364893,0.31511254019292606
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,dynamic,False,0.0,both,fixed_payout,{},{},{},277,55.490000000000016,1483.4999999999995,66.71000000000001,918,0.3017429193899782,0.037404785979103496,44.94000000000002,2,-0.009693053311793208,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,dynamic,True,0.0,both,fixed_payout,{},{},{},277,-4.090000000000007,1483.4999999999995,70.28999999999999,918,0.3017429193899782,-0.002756993596225149,-13.30000000000001,2,-0.05510434416978339,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,frozen,False,0.0,both,fixed_payout,{},{},{},277,12.950000000000017,1483.4999999999995,64.74999999999999,918,0.3017429193899782,0.008729356252106519,2.880000000000015,1,-0.043214509068167616,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,frozen,True,0.0,both,fixed_payout,{},{},{},277,-16.17,1483.4999999999995,68.47,918,0.3017429193899782,-0.010899898887765424,-25.740000000000002,1,-0.06362449377033222,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,dynamic,False,0.0,both,fixed_payout,{},{},{},277,9.780000000000038,1483.4999999999995,76.42,918,0.3017429193899782,0.00659251769464108,6.2400000000000375,1,-0.01608869807688052,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,dynamic,True,0.0,both,fixed_payout,{},{},{},277,4.2200000000000255,1483.4999999999995,76.97999999999999,918,0.3017429193899782,0.002844624199528161,0.8900000000000254,1,-0.018545156792882923,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,frozen,False,0.0,both,fixed_payout,{},{},{},277,4.190000000000037,1483.4999999999995,76.51,918,0.3017429193899782,0.002824401752612092,0.5500000000000353,1,-0.019673799986721856,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",120.0,frozen,True,0.0,both,fixed_payout,{},{},{},277,-1.2699999999999836,1483.4999999999995,76.87,918,0.3017429193899782,-0.000856083586113909,-4.699999999999984,1,-0.021510611459047986,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,dynamic,False,0.0,both,fixed_payout,{},{},{},277,12.16000000000002,1483.4999999999995,74.44000000000001,918,0.3017429193899782,0.008196831816649831,5.770000000000017,2,-0.040033637993228156,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,dynamic,True,0.0,both,fixed_payout,{},{},{},277,-17.189999999999998,1483.4999999999995,75.78999999999999,918,0.3017429193899782,-0.011587462082912035,-23.96,2,-0.05862305530351654,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,frozen,False,0.0,both,fixed_payout,{},{},{},277,-8.739999999999977,1483.4999999999995,74.14,918,0.3017429193899782,-0.005891472868217041,-15.55999999999998,2,-0.0656383473122801,0.2765273311897106
True,0.05,1.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",300.0,frozen,True,0.0,both,fixed_payout,{},{},{},277,-32.510000000000005,1483.4999999999995,75.10999999999999,918,0.3017429193899782,-0.021914391641388618,-39.220000000000006,1,-0.07468962312169435,0.2765273311897106
True,0.075,0.0,10.0,20.0,True,0.0,False,2.0,0.01,0.01,2.0,3,60.0,"('single', 'double', 'triple')",0.0,dynamic,False,0.0,both,fixed_payout,{},{},{},169,44.32999999999999,870.4899999999998,41.36999999999999,918,0.1840958605664488,0.0509253408999529,31.63999999999999,2,-0.05569468449084689,0.15755627009646303
