minimum_edge,confirmation_seconds,minimum_reversion_move,event_policy,side_filter,position_sizing,observed_hits,eligible_hit_updates,rejected_fair_updates,invalidated_candidates,expired_candidates,fresh_hit_anchors,confirmed_signals,trades,yes_trades,no_trades,reversion_exits,settlements,fees,capital,pnl,roi,pnl_without_best_game,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.05,2.0,0.02,double,no,fixed_payout,2895,687,2208,0,516,526,65,10,0,10,9,1,2.86,59.339999999999996,8.439999999999998,0.14223120997640712,4.579999999999998,4,-4.449999999999999,-0.1817068191098407,1,0.9699999999999986,0.16782006920415202,5,11.92,0.41004471964224287,1,2,-0.1817068191098407
0.025,2.0,0.01,double,no,fixed_payout,2895,687,2208,0,497,526,102,29,0,29,27,2,7.579999999999997,185.56,9.92,0.05345979737012287,5.86,10,0.19999999999999918,0.0030571690614490856,4,-6.240000000000002,-0.2267441860465117,15,15.960000000000006,0.17231699416972582,4,2,-0.2267441860465117
0.01,2.0,0.0,double,no,fixed_payout,2895,687,2208,0,466,526,144,60,0,60,54,6,14.78,326.35999999999996,7.220000000000002,0.02212280916779018,3.160000000000003,24,8.4,0.062476757158795096,13,-22.4,-0.3292181069958848,23,21.220000000000002,0.17130863001533866,13,2,-0.3292181069958848
0.05,1.0,0.0,double,no,fixed_payout,2895,687,2208,0,502,526,77,24,0,24,22,2,6.419999999999997,144.55999999999997,13.380000000000008,0.09255672385168795,9.320000000000007,11,6.080000000000004,0.08640045473923552,3,-6.42,-0.37988165680473374,10,13.719999999999999,0.23948333042415781,3,2,-0.37988165680473374
0.025,2.0,0.0,double,no,fixed_payout,2895,687,2208,0,487,526,102,39,0,39,34,5,9.649999999999999,227.74,7.550000000000001,0.03315183981733556,3.490000000000001,15,7.12,0.07795051456098095,8,-18.050000000000004,-0.41918253599628436,16,18.480000000000004,0.1979858581529891,8,2,-0.41918253599628436
0.05,2.0,0.01,double,no,fixed_payout,2895,687,2208,0,513,526,65,13,0,13,11,2,3.5000000000000004,79.71000000000001,4.799999999999999,0.060218291305984176,0.7399999999999993,5,-2.5199999999999996,-0.0784313725490196,2,-5.690000000000001,-0.457395498392283,6,13.010000000000002,0.3702333523050655,2,1,-0.457395498392283
0.05,1.0,0.01,double,no,fixed_payout,2895,687,2208,0,508,526,77,18,0,18,17,1,5.019999999999999,107.04999999999998,12.680000000000001,0.11844932274638023,8.620000000000001,7,6.580000000000002,0.14776555131372113,2,-6.380000000000001,-0.48591012947448603,9,12.48,0.25268272929742863,2,2,-0.48591012947448603
0.05,1.0,0.02,double,no,fixed_payout,2895,687,2208,0,514,526,77,12,0,12,11,1,3.39,73.05000000000001,5.209999999999997,0.07132101300479118,1.3499999999999983,3,1.5299999999999998,0.08265802269043758,2,-6.380000000000001,-0.48591012947448603,7,10.059999999999999,0.2429364887708283,2,2,-0.48591012947448603
0.075,2.0,0.02,double,no,fixed_payout,2895,687,2208,0,519,526,40,7,0,7,6,1,1.89,41.62,5.81,0.13959634790965883,1.9500000000000006,2,-6.109999999999999,-0.4868525896414342,0,0.0,0.0,5,11.92,0.41004471964224287,0,1,-0.4868525896414342
0.05,2.0,0.0,double,no,fixed_payout,2895,687,2208,0,506,526,65,20,0,20,16,4,5.339999999999999,112.23000000000002,1.359999999999999,0.012117972021741056,-2.7000000000000006,8,2.580000000000001,0.05250305250305253,5,-16.75,-0.6151303709144326,7,15.530000000000001,0.4330730619074178,5,2,-0.6151303709144326
0.075,2.0,0.0,double,no,fixed_payout,2895,687,2208,0,512,526,40,14,0,14,12,2,3.8000000000000007,75.75,4.200000000000001,0.05544554455445546,0.14000000000000146,5,-0.029999999999997584,-0.0010016694490817223,2,-6.699999999999999,-0.6423777564717161,7,10.93,0.3090189426067288,2,1,-0.6423777564717161
0.075,1.0,0.0,double,no,fixed_payout,2895,687,2208,0,510,526,48,16,0,16,14,2,4.19,90.91999999999999,7.010000000000002,0.0771007479102508,2.950000000000002,6,2.010000000000003,0.05362860192102463,2,-7.1899999999999995,-0.6584249084249084,8,12.189999999999998,0.28668861712135457,2,2,-0.6584249084249084
0.1,1.0,0.0,double,no,fixed_payout,2895,687,2208,0,514,526,34,12,0,12,10,2,3.0500000000000003,68.07,8.150000000000002,0.11972969002497433,4.0900000000000025,4,-1.089999999999999,-0.0441832184839886,1,-6.66,-1.0,7,15.899999999999999,0.4327708219923788,1,1,-1.0
0.075,1.0,0.01,double,no,fixed_payout,2895,687,2208,0,514,526,48,12,0,12,11,1,3.2,69.16,7.9,0.11422787738577213,3.8400000000000007,3,3.460000000000001,0.18316569613552147,1,-7.15,-1.0,8,11.59,0.2687847866419295,1,2,-1.0
0.075,2.0,0.01,double,no,fixed_payout,2895,687,2208,0,516,526,40,10,0,10,8,2,2.53,61.5,-2.43,-0.03951219512195122,-6.49,3,-4.18,-0.20703318474492322,1,-6.66,-1.0,6,8.41,0.24271284271284269,1,1,-1.0
