reversion_fraction,state_exit,minimum_logit_residual,maximum_selected_entry_latency,maximum_inning,side_filter,trades,pnl,capital,roi,reversion_exits,thesis_invalidations,timeout_exits,fold_1_trades,fold_1_pnl,fold_1_roi,fold_2_trades,fold_2_pnl,fold_2_roi,fold_3_trades,fold_3_pnl,fold_3_roi,minimum_fold_trades,profitable_folds,worst_fold_roi
0.75,next_plate_appearance,0.3,10.0,99,no,13,17.83766684355514,130.0,0.1372128218735011,3,0,1,7,14.191704110635886,0.20273863015194124,3,0.21739130434782508,0.007246376811594169,3,3.428571428571429,0.1142857142857143,3,3,0.007246376811594169
0.25,next_plate_appearance,0.2,10.0,9,no,20,27.09474638826084,200.0,0.13547373194130422,12,0,0,7,13.638136231486614,0.19483051759266592,6,3.684493384657453,0.06140822307762421,7,9.772116772116771,0.13960166817309672,6,3,0.06140822307762421
0.25,next_plate_appearance,0.2,10.0,99,no,20,27.09474638826084,200.0,0.13547373194130422,12,0,0,7,13.638136231486614,0.19483051759266592,6,3.684493384657453,0.06140822307762421,7,9.772116772116771,0.13960166817309672,6,3,0.06140822307762421
0.25,none,0.3,10.0,8,no,8,10.691260430390866,80.0,0.13364075537988582,3,0,5,4,7.908651734738693,0.19771629336846733,2,-0.21739130434782628,-0.010869565217391314,2,3.0,0.15,2,2,-0.010869565217391314
0.25,next_plate_appearance,0.3,10.0,8,no,8,10.445271125578028,80.0,0.13056588906972535,3,0,0,4,7.227879821230205,0.18069699553075513,2,0.21739130434782508,0.010869565217391254,2,3.0,0.15,2,3,0.010869565217391254
0.25,next_pitch,0.3,10.0,8,no,8,10.438296003513397,80.0,0.13047870004391746,3,0,3,4,7.655687307861222,0.19139218269653055,2,-0.21739130434782628,-0.010869565217391314,2,3.0,0.15,2,2,-0.010869565217391314
0.5,none,0.3,10.0,9,no,13,16.764276303406735,130.0,0.1289559715646672,4,0,8,7,15.686429512516465,0.22409185017880665,3,-2.2173913043478266,-0.07391304347826089,3,3.2952380952380955,0.10984126984126985,3,2,-0.07391304347826089
0.5,none,0.3,10.0,99,no,13,16.764276303406735,130.0,0.1289559715646672,4,0,8,7,15.686429512516465,0.22409185017880665,3,-2.2173913043478266,-0.07391304347826089,3,3.2952380952380955,0.10984126984126985,3,2,-0.07391304347826089
0.75,none,0.3,10.0,9,no,13,16.764276303406735,130.0,0.1289559715646672,3,0,9,7,15.686429512516465,0.22409185017880665,3,-2.2173913043478266,-0.07391304347826089,3,3.2952380952380955,0.10984126984126985,3,2,-0.07391304347826089
0.75,none,0.3,10.0,99,no,13,16.764276303406735,130.0,0.1289559715646672,3,0,9,7,15.686429512516465,0.22409185017880665,3,-2.2173913043478266,-0.07391304347826089,3,3.2952380952380955,0.10984126984126985,3,2,-0.07391304347826089
