inning_topbot_after,delta_inning,delta_outs,delta_score_diff,delta_runner_on_first,delta_runner_on_second,delta_runner_on_third,count_reset,transitions,mean,std,median,minimum,maximum,positive_rate
0.0,1,-1,0,-1.0,0.0,0.0,True,145,0.04052735895561185,0.0264803445787441,0.043418851459611774,0.0033533437162881208,0.09563540722929098,1.0
0.0,0,0,-1,1.0,-1.0,0.0,True,144,0.09151698379936223,0.06580683359652914,0.10657476750443445,-0.0,0.21535544170028154,0.7986111111111112
1.0,0,0,0,-1.0,1.0,1.0,True,143,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2,0,-1.0,0.0,0.0,True,140,-0.013931689925449258,0.0063730478487029705,-0.014668382023554458,-0.02171932408541538,-0.004145386880233234,0.0
0.0,0,0,-1,0.0,0.0,0.0,False,140,0.0925432038141301,0.06877582175214318,0.11162343025973231,-0.0,0.20287841630853576,0.7642857142857142
0.0,0,2,0,-1.0,0.0,0.0,True,138,-0.015275010894275187,0.007608534108181887,-0.013877255529618882,-0.02397835714428198,-0.003911301732767547,0.0
0.0,0,0,-1,1.0,0.0,-1.0,True,108,0.08871668578706371,0.06696925697863239,0.10098695315511219,-0.0,0.2142788241390482,0.7592592592592593
0.0,0,1,0,-1.0,0.0,0.0,False,108,-0.0098352073105767,0.009439911089546126,-0.008811769522051371,-0.02397835714428198,-0.0,0.0
0.0,0,0,0,1.0,-1.0,1.0,True,102,0.0,0.0,-0.0,-0.0,-0.0,0.0
0.0,0,0,0,0.0,0.0,1.0,False,98,0.0,0.0,-0.0,-0.0,-0.0,0.0
1.0,0,0,1,0.0,1.0,-1.0,True,97,0.07560043414515458,0.06242966977631234,0.07518867706154933,0.0,0.1819389609325635,0.7319587628865979
0.0,0,0,-1,0.0,1.0,-1.0,True,96,0.08936064160286299,0.06466103060343438,0.11453664471689617,-0.0,0.2012356713826221,0.7708333333333334
0.0,0,0,-2,0.0,-1.0,0.0,True,96,0.17281731041414528,0.12186112914936328,0.19474945885756745,-0.0,0.3833780906292117,0.8541666666666666
0.0,0,0,-1,-1.0,1.0,0.0,True,95,0.09760007943308942,0.06758934319668447,0.11201006913775724,-0.0,0.2142788241390482,0.8421052631578947
1.0,0,0,0,1.0,-1.0,1.0,True,93,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,0,1,-1.0,1.0,0.0,True,90,0.093450699803955,0.06433918361663006,0.11726769731787279,0.0,0.19255335390356376,0.8
1.0,0,0,0,-1.0,0.0,1.0,False,89,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0,0,0.0,-1.0,1.0,False,88,0.0,0.0,-0.0,-0.0,-0.0,0.0
1.0,0,0,0,0.0,-1.0,1.0,False,86,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0,1,-1,0.0,-1.0,0.0,True,86,0.08060998206489127,0.06203836114063467,0.09368379523334075,-0.006306485106262749,0.19190083292664928,0.7558139534883721
1.0,0,1,0,-1.0,0.0,1.0,True,83,-0.006719904597372948,0.008185595811730121,-0.004783642973152258,-0.02170127876721828,0.0,0.0
1.0,0,0,1,0.0,-1.0,1.0,True,83,0.09135028810085871,0.061498467016558755,0.10189708593752181,0.0,0.22092053497759573,0.8072289156626506
1.0,0,0,2,0.0,-1.0,0.0,True,83,0.13576290046093373,0.10011379358130967,0.137841606019653,0.0,0.354223345396649,0.8674698795180723
1.0,0,0,1,1.0,0.0,-1.0,True,83,0.08064298018230362,0.059678140226176,0.06625406986378435,0.0,0.2116377355904614,0.7951807228915663
0.0,0,0,-1,0.0,-1.0,1.0,True,80,0.08700858784370964,0.06480476486502512,0.09977856894193143,-0.0,0.2012356713826221,0.8125
0.0,0,1,0,-1.0,0.0,1.0,True,79,-0.007372874783350874,0.00827126581913002,-0.005437991954071575,-0.02382797223557409,-0.0,0.0
0.0,0,1,0,0.0,-1.0,1.0,False,78,-0.006956343567474019,0.008197585822550372,-0.004978298915234103,-0.02397835714428198,-0.0,0.0
1.0,0,0,0,0.0,0.0,1.0,False,76,0.0,0.0,0.0,0.0,0.0,0.0
